Isolate,EC50,Substrate,Region
7,0.04050852184,Plant,Unknown
8,0.008188349636,Unknown,Unknown
8,0.008188349636,Unknown,Unknown
9,0.6278569588,Animal,Arizona
9,0.7038127692,Animal,Arizona
10,0.01624706648,Unknown,Florida
10,0.02041586649,Unknown,Florida
11,0.4996522557,Fruit,Florida
11,1.245774081,Fruit,Florida
14,0.02875789585,Animal,Southern California
14,0.06396348463,Animal,Southern California
18,0.02288570244,Fruit,Florida
18,0.03223691962,Fruit,Florida
18,0.03613682281,Fruit,Florida
18,0.06396348463,Fruit,Florida
22,0.04050852184,Fruit,Southeast Asia
25,0.1422679666,Unknown,Antartica
25,0.1787721997,Unknown,Antartica
28,0.02875789585,Plant,Quebec
28,0.05090251678,Plant,Quebec
29,0.03223691962,Fruit,Florida
29,0.06396348463,Fruit,Florida
31,0.06396348463,Fruit,Florida
31,0.07170155019,Fruit,Florida
35,0.03223691962,Fruit,Florida
35,0.06396348463,Fruit,Florida
36,0.02288570244,Fruit,Florida
36,0.02565432999,Fruit,Florida
40,0.02041586649,Fruit,Florida
40,0.02875789585,Fruit,Florida
41,0.01153415193,Fruit,Florida
41,0.02288570244,Fruit,Florida
43,0.02288570244,Fruit,Northern California
43,0.1594790185,Fruit,Northern California
49,1.111329547,Fruit,Northern California
49,1.754803858,Fruit,Northern California
51,0.4457295455,Fruit,Northern California
51,0.8844025815,Fruit,Northern California
78,0.01292951093,Fruit,Northern California
78,0.03613682281,Fruit,Northern California
