
Isolate,EC50,Substrate,Climate,Region,,,,,,,
8,0.008188349636,Unknown,Temperate,Unknown,,,,,,,
8,0.008188349636,Unknown,Temperate,Unknown,,,,,,,
41,0.01153415193,Unknown,Unknown,Unknown,,,,,,,
50,0.01252146595,Strawberry,Temperate,Northern California,,,,,,,
78,0.01292951093,Strawberry,Temperate,Northern California,,,,,,,
50,0.01398989668,Strawberry,Temperate,Northern California,,,,,,,
10,0.01624706648,Unknown,Subtropical,Florida,,,,,,,
130,0.02013270674,Strawberry,Desert,Southern California,,,,,,,
10,0.02041586649,Unknown,Subtropical,Florida,,,,,,,
40,0.02041586649,Unknown,Unknown,Unknown,,,,,,,
130,0.02157972687,Strawberry,Desert,Southern California,,,,,,,
113,0.02182884521,Almond,Temperate,Northern California,,,,,,,
113,0.02238116683,Almond,Temperate,Northern California,,,,,,,
105,0.02248253441,Almond,Temperate,Northern California,,,,,,,
43,0.02253274805,Strawberry,Temperate,Northern California,,,,,,,
65,0.0225377066,Strawberry,Temperate,Northern California,,,,,,,
7,0.02288570244,Plant,Temperate,Unknown,,,,,,,
18,0.02288570244,Fruit,Subtropical,Florida,,,,,,,
36,0.02288570244,Strawberry,Subtropical,Florida,,,,,,,
41,0.02288570244,Unknown,Unknown,Unknown,,,,,,,
43,0.02288570244,Strawberry,Temperate,Northern California,,,,,,,
65,0.02294713469,Strawberry,Temperate,Northern California,,,,,,,
43,0.02353753086,Strawberry,Temperate,Northern California,,,,,,,
36,0.02565432999,Strawberry,Subtropical,Florida,,,,,,,
105,0.02568362751,Almond,Temperate,Northern California,,,,,,,
104,0.02574531078,Fruit,Temperate,Northern California,,,,,,,
104,0.02651274347,Fruit,Temperate,Northern California,,,,,,,
14,0.02875789585,Dung,Desert,Southern California,,,,,,,
28,0.02875789585,Plant,Temperate,Quebec,,,,,,,
40,0.02875789585,Unknown,Unknown,Unknown,,,,,,,
66,0.03175975391,Strawberry,Temperate,Northern California,,,,,,,
18,0.03223691962,Fruit,Subtropical,Florida,,,,,,,
29,0.03223691962,Strawberry,Subtropical,Florida,,,,,,,
35,0.03223691962,Strawberry,Subtropical,Florida,,,,,,,
66,0.03242406244,Strawberry,Temperate,Northern California,,,,,,,
18,0.03613682281,Fruit,Subtropical,Florida,,,,,,,
78,0.03613682281,Strawberry,Temperate,Northern California,,,,,,,
52,0.03712393077,Strawberry,Temperate,Northern California,,,,,,,
52,0.03779954579,Strawberry,Temperate,Northern California,,,,,,,
7,0.04050852184,Plant,Temperate,Unknown,,,,,,,
22,0.04050852184,Fruit,Tropical,Southeast Asia,,,,,,,
87,0.04653503936,Strawberry,Temperate,Northern California,,,,,,,
87,0.04835064176,Strawberry,Temperate,Northern California,,,,,,,
28,0.05090251678,Plant,Temperate,Quebec,,,,,,,
101,0.055026811,Fruit,Desert,Southern California,,,,,,,
101,0.05583942707,Fruit,Desert,Southern California,,,,,,,
90,0.05774719043,Strawberry,Temperate,Northern California,,,,,,,
14,0.06396348463,Dung,Desert,Southern California,,,,,,,
18,0.06396348463,Fruit,Subtropical,Florida,,,,,,,
29,0.06396348463,Strawberry,Subtropical,Florida,,,,,,,
31,0.06396348463,Strawberry,Subtropical,Florida,,,,,,,
35,0.06396348463,Strawberry,Subtropical,Florida,,,,,,,
90,0.06707844501,Strawberry,Temperate,Northern California,,,,,,,
31,0.07170155019,Strawberry,Subtropical,Florida,,,,,,,
99,0.0730681314,Fruit,Desert,Southern California,,,,,,,
99,0.07629592543,Fruit,Desert,Southern California,,,,,,,
25,0.1422679666,Unknown,Antartic,Antartica,,,,,,,
43,0.1594790185,Strawberry,Temperate,Northern California,,,,,,,
81,0.159668816,Tuber,Temperate,Northern California,,,,,,,
123,0.1624866248,Almond,Temperate,Northern California,,,,,,,
123,0.1661584145,Almond,Temperate,Northern California,,,,,,,
81,0.1772633477,Tuber,Temperate,Northern California,,,,,,,
25,0.1787721997,Unknown,Antartic,Antartica,,,,,,,
51,0.4457295455,Strawberry,Temperate,Northern California,,,,,,,
11,0.4996522557,Fruit,Subtropical,Florida,,,,,,,
2,0.5735924008,Fruit,Temperate,Unknown,,,,,,,
119,0.5757757349,Fruit,Desert,Southern California,,,,,,,
119,0.5799851574,Fruit,Desert,Southern California,,,,,,,
42,0.5969501988,Strawberry,Desert,Southern California,,,,,,,
2,0.6136159279,Fruit,Temperate,Unknown,,,,,,,
9,0.6278569588,Animal,Desert,Arizona,,,,,,,
42,0.6503057377,Strawberry,Desert,Southern California,,,,,,,
9,0.7038127692,Animal,Desert,Arizona,,,,,,,
44,0.733690707,Strawberry,Temperate,Northern California,,,,,,,
44,0.7991079929,Strawberry,Temperate,Northern California,,,,,,,
51,0.8844025815,Strawberry,Temperate,Northern California,,,,,,,
49,1.111329547,Strawberry,Temperate,Northern California,,,,,,,
11,1.245774081,Fruit,Subtropical,Flor
