Number,Replicate,Start Date,1,2,3,4,5,6,7.00000,Slope,R^2,Substrate,Climate,Region,GPS,Tighter,
1,c,4/14/2017,1.8,4.2,6,8.1,11.1,14.6,13.1,2.135714286,0.9469642403,Plant,Temperate,Unknown,,,
1,b,4/14/2017,1.7,4.2,6.5,8,11.3,14.8,12.1,2.042857143,0.9033440827,Plant,Temperate,Unknown,,,
1,a,4/14/2017,1.9,4.3,6.4,7.8,11.9,14.8,12.5,2.082142857,0.9103129285,Plant,Temperate,Unknown,,,
2,a,1/31/2017,1.4,3.8,5.6,7.2,9.7,12.1,14.5,2.142857143,0.9956192752,Fruit,Temperate,Unknown,,,
2,b,1/31/2017,0.6,2.4,4.5,6.7,8.9,11.2,12.7,2.082142857,0.9980297158,Fruit,Temperate,Unknown,,,
2,c,1/31/2017,2,4,5.9,7.8,9.7,11.5,14.8,2.042857143,0.9918032787,Fruit,Temperate,Unknown,,,
3,a,4/14/2017,1.3,2.4,3.9,5.4,14.1,20.6,24.7,4.171428571,0.9085619905,Plant,Temperate,Unknown,,,
3,b,4/14/2017,1.4,2.6,3.9,5.5,13.3,20.8,24.3,4.089285714,0.9043647356,Plant,Temperate,Unknown,,,
3,c,4/14/2017,1.3,2.6,3.9,5.8,12.9,21.7,23.1,4.021428571,0.9020741196,Plant,Temperate,Unknown,,,
4,a,1/31/2017,2.4,4.7,6,7.3,13.7,20,21.1,3.371428571,0.9301113876,Unknown,Unknown,Unknown,,,
4,b,1/31/2017,2.5,4.9,6.6,8.3,12.4,16.5,18.5,2.75,0.9759992099,Unknown,Unknown,Unknown,,,
4,c,1/31/2017,1.8,3.6,4.6,5.6,10.3,15,17.7,2.721428571,0.9318692465,Unknown,Unknown,Unknown,,,
5,a,4/14/2017,1.3,3.6,5.6,8,10.3,14.7,14.4,2.364285714,0.9743605706,Plant,Temperate,Europe,,,
5,b,4/14/2017,1.3,3.3,5.7,7.9,10.4,13.5,14.8,2.342857143,0.9953187159,Plant,Temperate,Europe,,,
5,c,4/14/2017,1.3,3.5,5.7,7.5,10.7,13.6,15.1,2.378571429,0.9934331942,Plant,Temperate,Europe,,,
6,a,4/14/2017,1.6,3.8,5.9,8.4,12.4,15.2,17.1,2.707142857,0.9908325861,Fruit,Temperate,Unknown,,,
6,b,4/14/2017,1.6,3.8,5.9,8.4,13,14.1,16.4,2.575,0.9847413127,Fruit,Temperate,Unknown,,,
6,c,4/14/2017,1.6,3.6,5.8,8.5,12.1,15.3,17.6,2.775,0.9920355058,Fruit,Temperate,Unknown,,,
7,a,4/14/2017,2.1,4,5.6,7.5,8.2,10.7,10.4,1.460714286,0.965558044,Plant,Temperate,Unknown,,,
7,b,4/14/2017,2,4.3,5.7,7.5,8.6,11.1,10.3,1.478571429,0.9497096503,Plant,Temperate,Unknown,,,
7,c,4/14/2017,2.1,4.4,5.6,7.5,8.9,10.9,10.4,1.471428571,0.9581828035,Plant,Temperate,Unknown,,,
8,a,1/31/2017,1.2,2.9,4.3,6,9.5,11.1,11.1,1.832142857,0.9648938198,Unknown,Temperate,Unknown,,,
8,b,1/31/2017,2,4,5.4,7,8.2,9.9,11.3,1.517857143,0.9971348761,Unknown,Temperate,Unknown,,,
8,c,1/31/2017,2.4,3.9,5.8,7.2,9.2,10,11.1,1.489285714,0.9881404282,Unknown,Temperate,Unknown,,,
9,a,4/14/2017,1,4.4,7.1,9.5,12.1,14.4,15.4,2.435714286,0.9850648911,Animal,Desert,Arizona,,,
9,b,4/14/2017,1,4.2,7.7,9.3,11.6,13.9,16.4,2.482142857,0.9904223123,Animal,Desert,Arizona,,,
9,c,4/14/2017,1,4.2,7.4,9.5,11.8,13.7,16.4,2.485714286,0.9920214945,Animal,Desert,Arizona,,,
10,a,4/14/2017,2.4,4.7,5.1,7.6,8,9.5,10,1.260714286,0.962083076,Unknown,Subtropical,Florida,,,
10,b,4/14/2017,2.2,4.5,5.6,7.4,8.2,9,9.7,1.217857143,0.9587180925,Unknown,Subtropical,Florida,,,
10,c,4/14/2017,2.3,4.4,5.6,7.2,8.2,8.7,9.4,1.160714286,0.9555710357,Unknown,Subtropical,Florida,,,
11,a,1/31/2017,1.2,2.4,4.4,6.4,13.5,20.6,24.8,4.153571429,0.926087284,Fruit,Subtropical,Florida,,,
11,b,1/31/2017,1.9,3.7,5.5,7.3,13.1,18.8,21.6,3.460714286,0.9474730983,Fruit,Subtropical,Florida,,,
11,c,1/31/2017,2,4,5.2,6.4,13.3,20.1,27,4.117857143,0.8979338341,Fruit,Subtropical,Florida,,,
12,a,4/14/2017,2.6,5.3,6.5,8.1,9.8,13,13.9,1.878571429,0.9852011167,Unknown,Subtropical,Unknown,,,
12,b,4/14/2017,2.6,5.4,6.6,7.7,9,12.8,12.9,1.717857143,0.9621760322,Unknown,Subtropical,Unknown,,,
12,c,4/14/2017,2.7,5.2,6.5,7.9,9.1,13.7,12.8,1.782142857,0.9419011953,Unknown,Subtropical,Unknown,,,
13,a,1/31/2017,3.2,5.1,6.3,6.7,6.7,7.7,7.7,0.6821428571,0.856039985,Fruit,Subtropical,Florida,,,
13,b,1/31/2017,1.1,3.7,6.1,9.4,10.2,11.3,12.7,1.932142857,0.9575001963,Fruit,Subtropical,Florida,,,
