Number,Replicate,start date,1,2,3,4,5,6,7,Slope,R^2,Substrate,Climate,Region,GPS,Tighter,
1,c,05/02/2017,1.8,3.7,6.7,6.4,9.7,12.1,12.7,1.875,0.4366071429,Plant,Temperate,Unknown,,,
1,b,05/02/2017,1.8,3.5,6.7,6.2,9.6,11.8,12.9,1.885714286,0.4698979592,Plant,Temperate,Unknown,,,
1,a,05/02/2017,1.7,3.6,6.5,6,9.4,12,13.2,1.935714286,0.5145408163,Plant,Temperate,Unknown,,,
2,a,1/31/17,3.4,6.7,11.9,17,23.1,27,27,4.378571429,1.186989796,Fruit,Temperate,Unknown,,,2.483928571
2,b,1/31/17,4.2,8.3,12.7,17.1,21.6,26.3,27,4.046428571,0.8942602041,Fruit,Temperate,Unknown,,,2.284695238
2,c,1/31/17,3.5,7,11.6,16.1,21.2,26.7,27,4.267857143,1.185841837,Fruit,Temperate,Unknown,,,
3,a,05/02/2017,0.8,2.7,3.8,3.9,12.7,21.5,25.7,4.328571429,2.367346939,Plant,Temperate,Unknown,,,
3,b,05/02/2017,0.9,2.6,3.8,3.7,13.1,21,24.5,4.175,2.265178571,Plant,Temperate,Unknown,,,
3,c,05/02/2017,0.9,2.6,3.8,3.7,13.2,21.3,25.4,4.296428571,2.353188776,Plant,Temperate,Unknown,,,
4,a,1/31/17,4.3,8.6,13,17.4,21.9,26.3,27,4.014285714,0.8265306122,Unknown,Unknown,Unknown,,,
4,b,1/31/17,4.8,9.6,14.9,20.2,25.8,27,27,4.010714286,0.5082908163,Unknown,Unknown,Unknown,,,
4,c,1/31/17,4,7.9,12.5,17.1,22,27,27,4.167857143,0.9894132653,Unknown,Unknown,Unknown,,,
5,a,05/02/2017,1,3.4,3.8,5.6,7.4,9.8,13,1.871428571,0.6433673469,Plant,Temperate,Europe,,,
5,b,05/02/2017,1,3.2,4,5.8,7.5,9.7,13,1.875,0.6401785714,Plant,Temperate,Europe,,,
5,c,05/02/2017,1,3.3,3.9,5.8,7.1,9.3,12.9,1.817857143,0.6090561224,Plant,Temperate,Europe,,,
5,a,05/02/2017,1.4,2.4,5.3,6.3,10,14.7,11.3,2.107142857,0.6971938776,Plant,Temperate,Europe,,,
5,b,05/02/2017,1.4,2.4,5.4,6.5,10.2,15,11.8,2.185714286,0.737755102,Plant,Temperate,Europe,,,
5,c,05/02/2017,1.4,2.5,5.1,6.3,10.1,15.7,11.8,2.235714286,0.7859693878,Plant,Temperate,Europe,,,
6,a,05/02/2017,1.6,4.1,5.7,8.7,12.5,17.2,15.1,2.625,0.8169642857,Fruit,Temperate,Unknown,,,
6,b,05/02/2017,1.6,4.3,5.6,8.9,12.4,16.7,15,2.564285714,0.7640306122,Fruit,Temperate,Unknown,,,
