Strain No.,Replicate,Start Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Slope,R^2,,Substrate,Climate,Region,GPS
1,a,4/11/2016,0,1.2,2.3,4.1,6.3,8.1,9.8,12.3,14.4,16,18.3,20.7,22.6,24.6,1,1,0.340791,Seed,Temperate,,
1,b,5/4/2016,1.8,4.2,6.2,8.1,11.5,14.6,16.5,,,,,,,,1.481951254,0.995613645,,Seed,Temperate,,
1,c,5/4/2016,1.8,4.2,6.2,8.1,11.5,14.6,12.6,,,,,,,,1.226994955,0.9184842477,,Seed,Temperate,,
2,a,4/18/2016,1.4,3.8,5.6,7.2,9.7,12.1,14.5,16,17.5,19.2,20.7,22.8,23.3,24,1.262204221,0.9921029061,0.02696934305,Fruit,Temperate,,
2,b,5/4/2016,0.6,2.4,4.5,6.7,8.9,11.2,12.7,,,,,,,,1.22406381,0.9906520653,,Fruit,Temperate,,
2,a,11/21/16,2,4,5.9,7.8,9.7,11.5,14.8,,,,,,,,1.201396291,0.9851735104,,Fruit,Temperate,,
3,a,4/18/2016,0.9,2.9,8.4,11.1,14.2,17.4,20.5,23.3,25.1,28.5,28.5,28.5,28.5,28.5,1.953297094,0.9725709224,0.2760243802,Seed,Temperate,,
3,b,5/4/2016,2,4.5,6.7,9.3,12.5,16.2,17,,,,,,,,1.562939672,0.9878519774,,Seed,Temperate,,
3,c,11/21/16,1.3,2.5,4,5.5,13.5,21.5,23.6,,,,,,,,2.469604917,0.9484190511,,Seed,Temperate,,
4,a,11/21/16,2.4,4.7,6,7.3,13.7,20,21.1,,,,,,,,2.024905848,0.9636233446,,,,,
4,b,11/21/16,2.5,4.9,6.6,8.3,12.4,16.5,18.5,,,,,,,,1.63550771,0.9914706842,,,,,
4,c,11/21/16,1.8,3.6,4.6,5.6,10.3,15,17.7,,,,,,,,1.635205713,0.9662655558,,,,,
5,a,5/4/2016,1.3,3.5,5.7,7.9,10.5,14,15.4,,,,,,,,1.434040361,0.992089095,,Flower,Temperate,Europe,"52.3702157,4.895167899999933"
5,b,5/4/2016,1.3,3.5,5.7,7.9,10.5,14,16.7,,,,,,,,1.519025794,0.99479495,,Flower,Temperate,Europe,"52.3702157,4.895167899999933"
5,c,5/4/2016,1.3,3.5,5.7,7.9,10.5,14,14.4,,,,,,,,1.368666951,0.981961757,,Flower,Temperate,Europe,"52.3702157,4.895167899999933"
6,a,5/2/2016,1.2,3.1,5.3,8,9.9,12.1,14.6,,,,,,,,1.317469623,0.9895432411,0.1877352088,Fruit,Temperate,,
6,b,5/4/2016,1.6,3.7,6,8.8,11.5,,,,,,,,,,1.582967301,0.9901049896,,Fruit,Temperate,,
6,b,5/4/2016,1.6,3.7,6,8.8,12.5,,,,,,,,,,1.726126566,0.998259439,,Fruit,Temperate,,
7,a,4/11/2016,3.1,6.7,10.1,15.5,16.1,17.6,18.9,21.2,23.3,25.1,26.3,28.5,28.5,28.5,1.545175158,0.8862102918,0.3348142239,Seed,Temperate,,
7,b,5/2/2016,1.3,3.3,6.7,8.7,10.5,12.6,14.1,,,,,,,,1.26314574,0.9605781464,,Seed,Temperate,,
7,c,5/4/2016,2.1,4.2,5.6,7.2,8.6,10.7,10.8,,,,,,,,0.8781887302,0.9610231522,,Seed,Temperate,,
8,a,4/11/2016,1.2,2.9,4.3,6,9.5,11.1,11.1,13.1,13.8,14.2,14.2,14.2,14.2,14.23,1.082906985,0.9681302159,0.1182566877,,Temperate,,
8,b,5/2/2016,2,4,5.4,7,8.2,9.9,11.3,,,,,,,,0.8873907482,0.9788418065,,,Temperate,,
8,c,5/4/2016,2.4,3.9,5.8,7.2,9.2,10,11.1,,,,,,,,0.8698927023,0.9682435298,,,Temperate,,
9,a,4/18/2016,2.2,4.9,6.8,8.7,9.9,11.2,12.1,13.5,,,,,,,0.9372202089,0.9314645426,0.2948927218,Animal,Desert,Arizona,"34.0489281,-111.09373110000001"
9,b,5/2/2016,0.9,3.7,4.8,5.7,7.1,8.3,10.7,,,,,,,,0.851861721,0.9515333126,,Animal,Desert,Arizona,"34.0489281,-111.09373110000001"
9,c,5/4/2016,1,4.2,7.4,9.2,11.5,13.8,15.7,,,,,,,,1.399932495,0.9620797092,,Animal,Desert,Arizona,"34.0489281,-111.09373110000001"
10,a,5/2/2016,1.7,3.8,6.3,8,9.6,10.9,12,,,,,,,,1.002629148,0.948451145,0.07563090425,,Subtropical,Florida,
10,c,5/2/2016,1.7,3.8,6.3,8,9.6,10.9,12.3,,,,,,,,1.022241171,0.9546226217,0.8973519777,,Subtropical,Florida,
10,b,5/4/2016,2.3,4.5,5.4,7.3,8,,,,,,,,,,0.8825443306,0.9233949842,,,Subtropical,Florida,
11,a,11/21/16,1.2,2.4,4.4,6.4,13.5,20.6,24.8,,,,,,,,2.501936332,0.9650541206,,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996"
11,b,11/21/16,1.9,3.7,5.5,7.3,13.1,18.8,21.6,,,,,,,,2.075161657,0.9784302533,,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996"
11,c,11/21/16,2,4,5.2,6.4,13.3,20.1,27,,,,,,,,2.485255454,0.9393651905,,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996"
12,a,4/13/2016,1.1,4.3,7.8,9.8,11.4,13.6,13.6,13.7,14.8,16.4,18.9,22.2,,,1.227350245,0.9014694835,0.07467226055,,Subtropical,,
12,a,4/13/2016,1.1,4.3,7.8,9.8,11.4,13..1,13.6,13.7,14.8,16.4,18.9,22.2,,,1.199908613,0.8793376795,0.08019524029,,Subtropical,,
12,c,5/4/2016,2.7,5.1,6.4,8.1,9.4,13.4,13.4,,,,,,,,1.086495417,0.9641779771,0.496037442,,Subtropical,,
13,a,4/13/2016,3.2,5.1,6.3,6.7,6.7,7.7,7.7,7.7,8.1,8.3,8.3,8.3,8.3,8.3,0.3849925389,0.783138568,0.5162738703,Strawberry,Subtropical,Florida,"29.6516344,-82.32482619999996"
13,b,5/2/2016,1.1,3.7,6.1,9.4,10.2,11.3,12.7,,,,,,,,1.115114048,0.9159875819,0.5330935957,Strawberry,Subtropical,Florida,"29.6516344,-82.32482619999996"
13,c,5/4/2016,1.5,4.7,5.1,5.3,5.4,6.1,6.5,,,,,,,,0.3612058552,0.6542311289,0.6239709952,Strawberry,Subtropical,Florida,"29.6516344,-82.32482619999996"
14,a,4/13/2016,2.2,3.9,8.4,10,10.8,12.7,,,,,,,,,1.243634099,0.8813120283,0.06144602049,Dung,Desert,Southern CA,"34.1922309,-116.71891119999998"
